targets,layer,filename,fld_value,units,name,description,layer_gl,path_in,fld_id_num,fld_id_chr,fld_category,fld_year,fld_val_num,fld_val_chr,file_exists,year_min,year_max,val_min,val_max,val_0to1,flds_unused,flds_missing,rows_duplicated,num_ids_unique,data_na
AO pressureECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure,hd_subtidal_sb,hd_subtidal_sb_gl2017.csv,pressure_score,scaled 0-1,Subtidal soft bottom habitat destruction,"Demersal destructive commercial fishing practices (i.e., trawling) in soft bottom habitat as a proxy for soft bottom habitat destruction",hd_subtidal_sb,~/github/ohi-global/eez/layers/hd_subtidal_sb.csv,rgn_id,,,year,pressure_score,,TRUE,2003,2014,0,0,TRUE,,,,11,FALSE
AO resilienceCP resilienceCS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience,res_spi,res_spi_gl2017.csv,resilience_score,scaled 0-1,Social Progress Index,Social Progress Index scores,res_spi,~/github/ohi-global/eez/layers/res_spi.csv,rgn_id,,,year,resilience_score,,TRUE,2014,2017,0.8621,0.864291667,TRUE,,,,11,FALSE
AO resilienceCP resilienceCS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience,wgi_all,wgi_all_gl2017.csv,resilience_score,scaled 0-1,Strength of governance,World Governance Indicators (WGI) six combined scores,wgi_all,~/github/ohi-global/eez/layers/wgi_all.csv,rgn_id,,,year,resilience_score,,TRUE,1996,2015,0.741754683,0.804305613,TRUE,,,,11,FALSE
AO resilienceCP resilienceCS resilienceFIS resilienceHAB resilienceICO resilienceLSP resilienceNP resilienceSPP resilience,hd_habitat,hd_habitat_gl2017.csv,resilience score,scaled 0-1,Management of habitat to protect habitat biodiversity,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: habitat related questions,hd_habitat,~/github/ohi-global/eez/layers/hd_habitat.csv,rgn_id,,,,resilience.score,,TRUE,,,0.363636364,0.363636364,TRUE,,,,11,FALSE
AO resilienceCP resilienceCS resilienceHAB resilienceNP resilience,hd_mpa_coast,hd_mpa_coast_gl2017.csv,resilience.score,scaled 0-1,Coastal protected marine areas (habitat preservation),Protected marine areas within 3nm of coastline (lasting special places goal status score),hd_mpa_coast,~/github/ohi-global/eez/layers/hd_mpa_coast.csv,rgn_id,,,year,resilience.score,,TRUE,2011,2017,0.455548489,0.461778592,TRUE,,,,11,FALSE
AO resilienceFIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience,fp_habitat,fp_habitat_gl2017.csv,resilience score,scaled 0-1,Management of habitat to protect fisheries biodiversity,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: habitat related questions,fp_habitat,~/github/ohi-global/eez/layers/fp_habitat.csv,rgn_id,,,,resilience.score,,TRUE,,,0.363636364,0.363636364,TRUE,,,,11,FALSE
AO resilienceFIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience,fp_mora,fp_mora_gl2017.csv,value,scaled 0-1,Commercial fishing management,Regulations and management of commerical fishing,fp_mora,~/github/ohi-global/eez/layers/fp_mora.csv,rgn_id,,,,value,,TRUE,,,0.612622254,0.612622254,TRUE,,,,11,FALSE
AO resilienceHAB resilienceNP resilience,fp_mpa_coast,fp_mpa_coast_gl2017.csv,resilience.score,scaled 0-1,Coastal protected marine areas (fishing preservation),Protected marine areas within 3nm of coastline (lasting special places goal status score),fp_mpa_coast,~/github/ohi-global/eez/layers/fp_mpa_coast.csv,rgn_id,,,year,resilience.score,,TRUE,2011,2017,0.455548489,0.461778592,TRUE,,,,11,FALSE
AO resilienceHAB resilienceNP resilience,species_diversity_3nm,species_diversity_3nm_gl2017.csv,score,scaled 0-1,Measure of coastal ecological integrity,Marine species condition (same calculation and data as the species subgoal status score)  calculated within 3 nm of shoreline as a proxy for ecological integrity,species_diversity_3nm,~/github/ohi-global/eez/layers/species_diversity_3nm.csv,rgn_id,,,,score,,TRUE,,,0.911090488,0.911090488,TRUE,,,,11,FALSE
CP,hab_coral_extent,hab_coral_extent_gl2017.csv,km2,km2,Habitat extent of saltmarsh,Area of coral habitat,hab_coral_extent,~/github/ohi-global/eez/layers/hab_coral_extent.csv,rgn_id,,habitat,year,km2,,TRUE,2012,2012,3968.92,3968.92,FALSE,,,,11,FALSE
CP,hab_seaice_extent,hab_seaice_extent_gl2017.csv,km2,km2,Habitat extent of saltmarsh,Area of seaice (edge and shoreline) habitat,hab_seaice_extent,~/github/ohi-global/eez/layers/hab_seaice_extent.csv,rgn_id,,habitat,year,km2,,TRUE,2016,2016,73970.17045,177102.2727,FALSE,,,,11,FALSE
CP pressureCS pressureECO pressureHAB pressureICO pressureNP pressureSPP pressure,cc_acid,cc_acid_gl2017.csv,pressure_score,scaled 0-1,Ocean acidification,Ocean acidification pressure scaled using biological thresholds,cc_acid,~/github/ohi-global/eez/layers/cc_acid.csv,rgn_id,,,year,pressure_score,,TRUE,1958,2020,0.161168126,0.395358606,TRUE,,,,11,FALSE
CP pressureCS pressureECO pressureHAB pressureICO pressureNP pressureSPP pressure,cc_sst,cc_sst_gl2017.csv,pressure_score,scaled 0-1,Sea surface temperature,Sea surface temperature anomalies,cc_sst,~/github/ohi-global/eez/layers/cc_sst.csv,rgn_id,,,year,pressure_score,,TRUE,2012,2016,0.141200672,0.238756418,TRUE,,,,11,FALSE
CP pressureCS pressureECO pressureHAB pressureLIV pressureLSP pressureMAR pressureNP pressureTR pressure,cc_slr,cc_slr_gl2017.csv,pressure_score,scaled 0-1,Sea level rise,Sea level rise pressure,cc_slr,~/github/ohi-global/eez/layers/cc_slr.csv,rgn_id,,,year,pressure_score,,TRUE,1993,2016,0.031926854,0.32881787,TRUE,,,,11,FALSE
CP pressureHAB pressureNP pressureSPP pressure,cc_uv,cc_uv_gl2017.csv,pressure_score,scaled 0-1,UV radiation,Modeled UV radiation,cc_uv,~/github/ohi-global/eez/layers/cc_uv.csv,rgn_id,,,year,pressure_score,,TRUE,2009,2016,0,0.31842871,TRUE,,,,11,FALSE
CP resilienceCS resilienceCW resilienceHAB resilienceICO resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience,po_water,po_water_gl2017.csv,resilience score,scaled 0-1,Management of waters to preserve biodiversity,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: tourism related questions,po_water,~/github/ohi-global/eez/layers/po_water.csv,rgn_id,,,,resilience.score,,TRUE,,,0,0,TRUE,,,,11,FALSE
CPHAB,hab_coral_health,hab_coral_health_gl2017.csv,health,proportion,Habitat condition of seagrass,Current condition of coral habitat relative to historical condition,hab_coral_health,~/github/ohi-global/eez/layers/hab_coral_health.csv,rgn_id,,habitat,year,health,,TRUE,2012,2012,0.422873323,0.422873323,TRUE,,,,11,FALSE
CPHAB,hab_coral_trend,hab_coral_trend_gl2017.csv,trend,trend,Habitat condition trend of seagrass,Estimated change in coral condition,hab_coral_trend,~/github/ohi-global/eez/layers/hab_coral_trend.csv,rgn_id,,habitat,year,trend,,TRUE,2012,2012,-0.026595953,-0.026595953,FALSE,,,,11,FALSE
CPHAB,hab_seaice_health,hab_seaice_health_gl2017.csv,health,proportion,Habitat condition of seagrass,Current condition of seaice habitat relative to historical condition,hab_seaice_health,~/github/ohi-global/eez/layers/hab_seaice_health.csv,rgn_id,,habitat,year,health,,TRUE,2006,2016,0.822872993,1,TRUE,,,,11,FALSE
CPHAB,hab_seaice_trend,hab_seaice_trend_gl2017.csv,trend,trend,Habitat condition trend of seagrass,Estimated change in seaice condition,hab_seaice_trend,~/github/ohi-global/eez/layers/hab_seaice_trend.csv,rgn_id,,habitat,year,trend,,TRUE,2010,2016,-0.191885965,0.037890232,FALSE,,,,11,FALSE
CSCP,hab_mangrove_extent,hab_mangrove_extent_gl2017.csv,km2,km2,Habitat extent of mangrove,Area of mangrove habitat,hab_mangrove_extent,~/github/ohi-global/eez/layers/hab_mangrove_extent.csv,rgn_id,,habitat,year,km2,,TRUE,2015,2015,125.096159,1447.704175,FALSE,,,,11,FALSE
CSCP,hab_saltmarsh_extent,hab_saltmarsh_extent_gl2017.csv,km2,km2,Habitat extent of saltmarsh,Area of saltmarsh habitat,hab_saltmarsh_extent,~/github/ohi-global/eez/layers/hab_saltmarsh_extent.csv,rgn_id,,habitat,year,km2,,TRUE,2012,2012,15747,15747,FALSE,,,,11,FALSE
CSCP,hab_seagrass_extent,hab_seagrass_extent_gl2017.csv,km2,km2,Habitat extent of saltmarsh,Area of seagrass habitat,hab_seagrass_extent,~/github/ohi-global/eez/layers/hab_seagrass_extent.csv,rgn_id,,habitat,year,km2,,TRUE,2012,2012,17906,17906,FALSE,,,,11,FALSE
CSHABCP,hab_mangrove_health,hab_mangrove_health_gl2017.csv,health,proportion,Habitat condition of mangrove,Current condition of mangrove habitat relative to historical condition,hab_mangrove_health,~/github/ohi-global/eez/layers/hab_mangrove_health.csv,rgn_id,,habitat,year,health,,TRUE,2012,2012,0.709090909,0.709090909,TRUE,,,,11,FALSE
CSHABCP,hab_mangrove_trend,hab_mangrove_trend_gl2017.csv,trend,trend,Habitat condition trend of mangrove,Estimated change in mangrove condition,hab_mangrove_trend,~/github/ohi-global/eez/layers/hab_mangrove_trend.csv,rgn_id,,habitat,year,trend,,TRUE,2012,2015,-0.009989,-0.006538,FALSE,,,,11,FALSE
CSHABCP,hab_saltmarsh_health,hab_saltmarsh_health_gl2017.csv,health,proportion,Habitat condition of saltmarsh,Current condition of saltmarsh habitat relative to historical condition,hab_saltmarsh_health,~/github/ohi-global/eez/layers/hab_saltmarsh_health.csv,rgn_id,,habitat,year,health,,TRUE,2012,2012,0.5,0.5,TRUE,,,,11,FALSE
CSHABCP,hab_saltmarsh_trend,hab_saltmarsh_trend_gl2017.csv,trend,trend,Habitat condition trend of saltmarsh,Estimated change in saltmarsh condition,hab_saltmarsh_trend,~/github/ohi-global/eez/layers/hab_saltmarsh_trend.csv,rgn_id,,habitat,year,trend,,TRUE,2012,2012,0,0,TRUE,,,,11,FALSE
CSHABCP,hab_seagrass_health,hab_seagrass_health_gl2017.csv,health,proportion,Habitat condition of seagrass,Current condition of seagrass habitat relative to historical condition,hab_seagrass_health,~/github/ohi-global/eez/layers/hab_seagrass_health.csv,rgn_id,,habitat,year,health,,TRUE,2012,2012,1,1,TRUE,,,,11,FALSE
CSHABCP,hab_seagrass_trend,hab_seagrass_trend_gl2017.csv,trend,trend,Habitat condition trend of seagrass,Estimated change in seagrass condition,hab_seagrass_trend,~/github/ohi-global/eez/layers/hab_seagrass_trend.csv,rgn_id,,habitat,year,trend,,TRUE,2012,2012,-1,-1,FALSE,,,,11,FALSE
CW,cw_pathogens,cw_pathogens.csv,perc_open,proportion,Yearly proportion of beach free of pathogens,Average annual proportion that a regions beaches are open and free of pathogens,cw_pathogens,~/github/ohi-global/eez/layers/cw_pathogen_trend.csv,rgn_id,,x,year,perc_open,,TRUE,2005,2016,0.903817352,0.997260274,TRUE,rgn_name,,,11,FALSE
CW,cw_trash,cw_trash.csv,score,scaled 0-1,Pounds per person,Pounds of trash collected per volunteer,cw_trash,~/github/ohi-global/eez/layers/cw_trash_trend.csv,rgn_id,,x,year,,,TRUE,2006,2017,2.102868447,28.58709325,FALSE,,,,11,FALSE
CW,cw_wqi,cw_wqi.csv,score,score 0-100,Water quality index score,Water quality score,cw_wqi,,rgn_id,,,,,,,,,,,,,,,,
CW,cw_sqi,cw_sqi.csv,score,score 0 -100,Sediment quality index score,Sediment quality index,cw_sqi,,,,,,,,,,,,,,,,,,
CWAO pressureCP pressureCS pressureCW pressureECO pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureTR pressure,po_nutrients_3nm,po_nutrients_3nm_gl2017.csv,pressure_score,scaled 0-1,Coastal nutrient pollution,Modeled nutrient pollution within EEZ based on fertilizer consumption,po_nutrients_3nm,~/github/ohi-global/eez/layers/po_nutrients_3nm.csv,rgn_id,,,year,pressure_score,,TRUE,2012,2016,0.111484662,0.119391819,TRUE,,,,11,FALSE
CWAO pressureCP pressureCS pressureCW pressureHAB pressureICO pressureLSP pressureTR pressure,po_chemicals_3nm,po_chemicals_3nm_gl2017.csv,pressure_score,scaled 0-1,Coastal chemical pollution,"Modeled chemical pollution within 3nm of coastline from commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution)",po_chemicals_3nm,~/github/ohi-global/eez/layers/po_chemicals_3nm.csv,rgn_id,,,year,pressure_score,,TRUE,2012,2016,0.333106102,0.33807195,TRUE,,,,11,FALSE
CWCW pressureECO pressureICO pressureLIV pressureLSP pressureSPP pressureTR pressure,po_trash,po_trash_gl2017.csv,pressure_score,scaled 0-1,Marine plastics,Global marine plastic pollution,po_trash,~/github/ohi-global/eez/layers/po_trash.csv,rgn_id,,,year,pressure_score,,TRUE,2015,2015,0.395739373,0.395739373,TRUE,,,,11,FALSE
CWCW pressureECO pressureLIV pressureTR pressure,prs_pathogens,prs_pathogens.csv,perc_closed,scaled 0-1,Pathogen pollution,Percent of year with beaches closed due to presence of pathogens,prs_pathogens,~/github/ohi-global/eez/layers/po_pathogens.csv,rgn_id,,x,year,perc_closed,,TRUE,2005,2016,0.002739726,0.096182648,TRUE,rgn_name,,,11,FALSE
ECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure,fp_art_lb,fp_art_lb_gl2017.csv,pressure_score,scaled 0-1,Low bycatch due to artisanal fishing,"Extent of artisanal fishing (including: artisanal, subsistence, and recreational catch)",fp_art_lb,~/github/ohi-global/eez/layers/fp_art_lb.csv,rgn_id,,,year,pressure_score,,TRUE,2007,2014,0.056500484,0.061596077,TRUE,,,,11,FALSE
ECO pressureFIS pressureLIV pressureMAR pressureNP pressureSPP pressure,po_chemicals,po_chemicals_gl2017.csv,pressure_score,scaled 0-1,Chemical pollution,"Modeled chemical pollution within EEZ from commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution)",po_chemicals,~/github/ohi-global/eez/layers/po_chemicals.csv,rgn_id,,,year,pressure_score,,TRUE,2012,2016,0.217349282,0.217600444,TRUE,,,,11,FALSE
ECO pressureFIS pressureLIV pressureNP pressureSPP pressure,po_nutrients,po_nutrients_gl2017.csv,pressure_score,scaled 0-1,Nutrient pollution,Modeled nutrient pollution within 3nm of coastline based on fertilizer consumption,po_nutrients,~/github/ohi-global/eez/layers/po_nutrients.csv,rgn_id,,,year,pressure_score,,TRUE,2012,2016,0.005828456,0.006272852,TRUE,,,,11,FALSE
ECO pressureFIS pressureLIV pressureSPP pressure,sp_genetic,sp_genetic_gl2017.csv,pressure_score,scaled 0-1,Genetic escapes,Introduced mariculture species (Mariculture Sustainability Index) as a proxy for genetic escapes,sp_genetic,~/github/ohi-global/eez/layers/sp_genetic.csv,rgn_id,,,year,pressure_score,,TRUE,1950,2015,0.30309492,0.559606751,TRUE,,,,11,FALSE
FIS,fis_stockscores,fis_stockscores.csv,score,stock score,Stock Scores,Stock scores,score,~/github/ohi-global/eez/layers/fis_b_bmsy.csv,rgn_id,,stock_id,year,bbmsy,,TRUE,2001,2014,0.015,11.04264262,FALSE,,,,11,FALSE
FIS,fis_meancatch,fis_meancatch.csv,pounds,mean_catch,Fishery catch data,rolling three year mean of commercial catch by state,fis_meancatch,~/github/ohi-global/eez/layers/fis_meancatch.csv,rgn_id,,stock_id_taxonkey,year,mean_catch,,TRUE,2001,2014,4.41E-07,986219.9677,FALSE,,,,11,FALSE
FIS resilienceHAB resilienceICO resilienceNP resilience,species_diversity_eez,species_diversity_eez_gl2017.csv,score,scaled 0-1,Measure of ecological integrity,Marine species condition (species subgoal status score) as a proxy for ecological integrity,species_diversity_eez,~/github/ohi-global/eez/layers/species_diversity_eez.csv,rgn_id,,,,score,,TRUE,,,0.905754359,0.905754359,TRUE,,,,11,FALSE
FIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience,fp_mora_artisanal,fp_mora_artisanal_gl2017.csv,value,scaled 0-1,Artisanal fisheries management effectiveness,Quality of management of small-scale fishing for artisanal and recreational purposes,fp_mora_artisanal,~/github/ohi-global/eez/layers/fp_mora_artisanal.csv,rgn_id,,,,value,,TRUE,,,0.632,0.632,TRUE,,,,11,FALSE
FIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience,fp_mpa_eez,fp_mpa_eez_gl2017.csv,resilience.score,scaled 0-1,EEZ protected marine areas (fishing preservation),Protected marine areas within EEZ (lasting special places calculation applied to the entire EEZ),fp_mpa_eez,~/github/ohi-global/eez/layers/fp_mpa_eez.csv,rgn_id,,,year,resilience.score,,TRUE,2011,2017,0.616198944,0.621388137,TRUE,,,,11,FALSE
FIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience,hd_mpa_eez,hd_mpa_eez_gl2017.csv,resilience.score,scaled 0-1,EEZ protected marine areas (habitat preservation),Protected marine areas within EEZ (lasting special places calculation applied to the entire EEZ),hd_mpa_eez,~/github/ohi-global/eez/layers/hd_mpa_eez.csv,rgn_id,,,year,resilience.score,,TRUE,2011,2017,0.616198944,0.621388137,TRUE,,,,11,FALSE
FP,fp_wildcaught_weight,fp_wildcaught_weight_gl2017.csv,w_fis,proportion,Food provision weights,"Proportion of wild caught fisheries relative to total food production (e.g., fisheries and mariculture)",fp_wildcaught_weight,~/github/ohi-global/eez/layers/fp_wildcaught_weight.csv,rgn_id,,,year,w_fis,,TRUE,2005,2014,0.964714255,0.972954548,TRUE,,,,11,FALSE
HAB,hab_softbottom_health,hab_softbottom_health_gl2017.csv,health,proportion,Habitat condition of softbottom,Current condition of softbottom habitat (trawling fishing pressure used as proxy),hab_softbottom_health,~/github/ohi-global/eez/layers/hab_softbottom_health.csv,rgn_id,,habitat,year,health,,TRUE,2003,2014,1,1,TRUE,,,,11,FALSE
HAB,hab_softbottom_trend,hab_softbottom_trend_gl2017.csv,trend,trend,Habitat condition trend of softbottom,Estimated change in softbottom condition,hab_softbottom_trend,~/github/ohi-global/eez/layers/hab_softbottom_trend.csv,rgn_id,,habitat,year,trend,,TRUE,2010,2014,0,0,TRUE,,,,11,FALSE
HAB resilienceMAR resilienceSPP resilience,g_mariculture,g_mariculture_gl2017.csv,resilience score,scaled 0-1,Management of mariculture  to preserve biodiversity,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: mariculture related questions,g_mariculture,~/github/ohi-global/eez/layers/g_mariculture.csv,rgn_id,,,,resilience.score,,TRUE,,,0.5,0.5,TRUE,,,,11,FALSE
HAB resilienceSPP resilience,g_tourism,g_tourism_gl2017.csv,resilience score,scaled 0-1,Management of tourism to preserve biodiversity,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: tourism related questions,g_tourism,~/github/ohi-global/eez/layers/g_tourism.csv,rgn_id,,,,resilience.score,,TRUE,,,0.444444444,0.444444444,TRUE,,,,11,FALSE
ICO,ico_spp_iucn_status,ico_spp_iucn_status_gl2017.csv,category,IUCN risk category,IUCN extinction risk,IUCN extinction risk category for iconic species located within each region,ico_spp_iucn_status,~/github/ohi-global/eez/layers/ico_spp_iucn_status.csv,rgn_id,,sciname,year,,category,TRUE,2000,2016,,,FALSE,iucn_sid,,2244,11,
ICO pressureSPP pressure,fp_targetharvest,fp_targetharvest_gl2017.csv,pressure_score,scaled 0-1,Targeted harvest of cetaceans and marine turtles,Targeted harvest of cetaceans and marine turtles,fp_targetharvest,~/github/ohi-global/eez/layers/fp_targetharvest.csv,rgn_id,,,year,pressure_score,,TRUE,1950,2015,0,1,TRUE,,,,11,FALSE
ICO resilienceNP resilienceSPP resilience,g_cites,g_cites_gl2017.csv,resilience_score,0 or 1,CITES signatories,Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories,g_cites,~/github/ohi-global/eez/layers/g_cites.csv,rgn_id,,,year,resilience_score,,TRUE,2010,2017,1,1,TRUE,,,,11,FALSE
LE,le_job_growth,le_job_growth.csv,coast_job_growth,rate,job growth wate,growth rate of jobs compared to the average of the previous 3 years,le_popn,~/github/ohi-global/eez/layers/le_coast_jobs.csv,rgn_id,,x,year,coast_job_growth,,TRUE,2005,2015,-0.075104188,0.137352775,FALSE,"rgn_name,us_job_growth",,,11,FALSE
LE,le_coast_wages,le_coast_wages.csv,wage_growth_rate,rate,wage growth rate,growth rate in wages compared to the average of the previous 3 years,le_wage_sector_year,~/github/ohi-global/eez/layers/le_coast_wages.csv,rgn_id,,x,year,wage_growth_rate,,TRUE,2005,2015,-0.126322328,0.189222071,FALSE,rgn_name,,,11,FALSE
LE,eco_coast_gdp,eco_coast_gdp.csv,gdp_growth_rate,rate,GDP growth rate,GDP growth rate for coastal jobs,,~/github/ohi-global/eez/layers/eco_coast_gdp.csv,rgn_id,,x,year,gdp_growth_rate,,TRUE,2005,2015,-0.232602514,0.439932626,FALSE,rgn_name,,,11,FALSE
LSP,lsp_prot_area_inland1km,lsp_prot_area_inland1km_gl2017.csv,a_prot_1km,km2,Inland coastal protected areas,Protected areas located 1 km inland,lsp_prot_area_inland1km,~/github/ohi-global/eez/layers/lsp_prot_area_inland1km.csv,rgn_id,,,year,a_prot_1km,,TRUE,2000,2017,23778.5,25873.25,FALSE,,,,11,FALSE
LSP,lsp_prot_area_offshore3nm,lsp_prot_area_offshore3nm_gl2017.csv,a_prot_3nm,km2,Offshore coastal protected areas,Protected areas located 3nm offshore,lsp_prot_area_offshore3nm,~/github/ohi-global/eez/layers/lsp_prot_area_offshore3nm.csv,rgn_id,,,year,a_prot_3nm,,TRUE,2000,2017,36921.5,39969.5,FALSE,,,,11,FALSE
LSP,rgn_area_inland1km,rgn_area_inland1km_gl2017.csv,area,km2,Inland area,Inland area of OHI regions within 1km of shoreline,rgn_area_inland1km,~/github/ohi-global/eez/layers/rgn_area_inland1km.csv,rgn_id,,,,area,,TRUE,,,83935,83935,FALSE,,,,11,FALSE
LSP,rgn_area_offshore3nm,rgn_area_offshore3nm_gl2017.csv,area,km2,Offshore area,Offshore area of OHI regions within 3nm of shoreline,rgn_area_offshore3nm,~/github/ohi-global/eez/layers/rgn_area_offshore3nm.csv,rgn_id,,,,area,,TRUE,,,288518.5,288518.5,FALSE,,,,11,FALSE
MAR,mar_coastalpopn_inland25mi,mar_coastalpopn_inland25mi_gl2017.csv,popsum,number of people,Inland coastal population,Total coastal population within 25 miles of coast,mar_coastalpopn_inland25mi,~/github/ohi-global/eez/layers/mar_coastalpopn_inland25mi.csv,rgn_id,,,year,popsum,,TRUE,2000,2020,98180394.97,111119647.1,FALSE,,,,11,FALSE
MAR,mar_harvest_tonnes,mar_harvest_tonnes_gl2017.csv,tonnes,tonnes,Mariculture harvest,Tonnes of mariculture harvest,mar_harvest_tonnes,~/github/ohi-global/eez/layers/mar_harvest_tonnes.csv,rgn_id,,taxa_code,year,tonnes,,TRUE,1950,2015,0,129060,FALSE,,,,11,FALSE
MAR,mar_sustainability_score,mar_sustainability_score_gl2017.csv,sust_coeff,score,Mariculture sustainability score,Mariculture sustainability based on the Mariculture Sustainability Index (MSI),mar_sustainability_score,~/github/ohi-global/eez/layers/mar_sustainability_score.csv,rgn_id,,taxa_code,year,sust_coeff,,TRUE,2012,2012,0.366666667,1,TRUE,,,,11,FALSE
